Entrez,TRAb_R1,TRAb_R2,TRAb_R3,WTAb_R1,WTAb_R2,WTAb_R3
10606,3.67495106183787,3.7133962065242,3.69208185556619,3.68633158216206,3.61059801804346,3.65133709028076
79814,3.35717994392397,3.6145246734122,3.27283227003814,3.6210959719813,3.24005761559835,3.61623441683706
788,3.44085846414299,3.4152230385633,3.47310966980897,3.20475832372073,3.43052968117054,3.4891059016216
5250,3.55665815893279,3.50663875209038,3.4821532723887,3.54505621347053,3.53957833369471,3.59498297989751
2820,3.34707778328341,3.50956614832506,3.45896837930073,3.50164069293464,3.43110619531169,3.54360369624043
5335,3.44986248905731,3.2495494833606,3.45156704858542,3.44648962109757,3.47832962878731,3.40833853420567
790,3.43182844456745,3.37919960879508,3.50776860202694,3.55246451580315,3.49513037234308,3.425986730715
5831,3.45394048480467,3.49317760487942,3.37448709092054,3.46683218636634,3.50379471813173,3.5009964352754
55748,3.5027669975056,3.45196420012078,3.51123322387311,3.4567808470332,3.4242355591799,3.44685517099504
2730,3.50913252309217,3.42039171415699,3.30013970557582,3.51852662243792,3.44889184111534,3.43468207841866
4507,3.37346553473952,3.44980722087989,3.54043503784271,3.49641750385269,3.27534077421774,3.41659417294976
6390,3.33369879471145,3.43178442150763,3.45732665650945,3.49447582707481,3.43023447762356,3.4519229888131
51727,3.43732901901961,3.45589666760151,3.43983821351526,3.48591645380032,3.48603172452232,3.48910942223462
158,3.51474586666295,3.42703109659396,3.52089917774373,3.44089103457467,3.45210415369608,3.43789067975076
159,3.48020717511096,3.43968010793107,3.54647689288397,3.42413154429331,3.44459584578472,3.45835699951689
7001,3.50543253949237,3.45387220340532,3.49651155800964,3.42767086023182,3.45046096522043,3.46002922619166
1892,3.47624023540435,3.42060808014863,3.56677957767467,3.45233535116528,3.45694796707671,3.42002828469095
10935,3.43771613655522,3.45435951782345,3.45033412935085,3.46731565130193,3.48401037495645,3.50041041645595
4594,3.3593530913005,3.35500456105153,3.24171799750134,3.32218702777468,3.43314340353794,3.3441323895956
4245,3.34031850856224,3.39772444513971,3.2410500834688,3.43225926119228,3.26093596875959,3.43478935160065
5095,4.20464596036543,4.24898309286861,4.2047388519879,4.24408812700475,4.25633708586229,4.25308483536328
39,3.60288251646745,3.62691964626038,3.52983135303511,3.57145547100067,3.55855683198853,3.5167203658129
128,3.56082239785389,3.41439984591515,3.48976522553568,3.44070919715565,3.45724994577291,3.43004159669693
2936,3.41741021926668,3.48848352703924,3.43153897205458,3.50022343792472,3.47815344233891,3.47805469773763
5096,3.538822672441,3.57818863482349,3.57199045318632,3.5964843895923,3.61356516192775,3.58370592029568
4598,3.44143795366785,3.47883783748547,3.41739919158932,3.48714975146382,3.4813145351725,3.48784794831554
51056,3.50373634963098,3.45272301040318,3.50120143346093,3.41949948187854,3.46267625551152,3.45406344563105
2597,3.79042695180168,3.85348296421062,3.82382593456555,3.77183653820973,3.78842395250471,3.80242760309782
2821,3.40827904751012,3.48934041753436,3.43848098472813,3.46342262362615,3.49615349205767,3.49808193141532
2806,3.51958669682471,3.50808693031763,3.48950113069531,3.52223751672806,3.53992546653847,3.56119438808687
6888,3.53118909913364,3.45761914752835,3.4700831987611,3.44698416692779,3.3866275742416,3.50069333587286
5832,3.62743267274268,3.6004484056176,3.56827832944035,3.6345725956194,3.64367004197783,3.62174820013189
